name,socket,form_factor
Gigabyte Z690 AORUS ELITE DDR4,LGA1700,ATX
MSI B450 GAMING PRO CARBON MAX WIFI,AM4,ATX
Asus PRIME H670-PLUS D4,LGA1700,ATX
Asus TUF B450-PLUS GAMING,AM4,ATX
Gigabyte B550 GAMING X,AM4,ATX
Gigabyte B550 AORUS ELITE AX,AM4,ATX
Asus PRIME B760-PLUS,LGA1700,ATX
Asus Prime X299-A II,LGA2066,ATX
Gigabyte X470 AORUS ULTRA GAMING,AM4,ATX
Asus TUF Z390-PLUS GAMING (WI-FI),LGA1151,ATX
Asus ROG Crosshair VIII Formula,AM4,ATX
MSI MEG Z690 ACE,LGA1700,EATX
ASRock Fatal1ty X370 Gaming K4,AM4,ATX
Gigabyte Z690 AERO D,LGA1700,EATX
MSI MAG Z490 TOMAHAWK,LGA1200,ATX
Asus PRIME Z690-P,LGA1700,ATX
MSI Z270-A PRO,LGA1151,ATX
Asus Z97-A,LGA1150,ATX
Asus ProArt B660-CREATOR D4,LGA1700,ATX
Asus PRIME B560-PLUS,LGA1200,ATX
Gigabyte B760 DS3H,LGA1700,ATX
Asus ROG STRIX Z390-F GAMING,LGA1151,ATX
MSI MEG X570S ACE MAX,AM4,ATX
Asus MAXIMUS VIII FORMULA,LGA1151,ATX
Gigabyte B760 GAMING X AX DDR4,LGA1700,ATX
MSI MEG X570S UNIFY-X MAX,AM4,ATX
Gigabyte Z690 AORUS PRO,LGA1700,ATX
Gigabyte Z590 UD AC,LGA1200,ATX
Asus ROG STRIX Z590-A GAMING WIFI,LGA1200,ATX
Asus TUF GAMING Z690-PLUS D4,LGA1700,ATX
Gigabyte Z790 GAMING X,LGA1700,ATX
Asus ProArt B550-CREATOR,AM4,ATX
MSI MAG Z390 TOMAHAWK,LGA1151,ATX
Asus TUF GAMING Z790-PLUS D4,LGA1700,ATX
MSI Z370 GAMING PLUS,LGA1151,ATX
MSI MPG B550 GAMING CARBON WIFI,AM4,ATX
Asus X99-DELUXE,LGA2011-3,ATX
Asus ROG Crosshair VIII Impact,AM4,Mini DTX
Asus Z590 WIFI GUNDAM EDITION,LGA1200,ATX
ASRock Z690 Extreme,LGA1700,ATX
Gigabyte B760 AORUS ELITE AX DDR4,LGA1700,ATX
Asus PROART B760-CREATOR D4,LGA1700,ATX
MSI Z170A GAMING M5,LGA1151,ATX
Asus TUF GAMING Z590-PLUS,LGA1200,ATX
MSI MPG Z490 GAMING CARBON WIFI,LGA1200,ATX
Gigabyte X570 GAMING X,AM4,ATX
Gigabyte X299X DESIGNARE 10G,LGA2066,EATX
Asus MAXIMUS VIII HERO,LGA1151,ATX
Gigabyte B550 VISION D,AM4,ATX
Asus PRIME Z490-P,LGA1200,ATX
Gigabyte Z790 AORUS ELITE DDR4,LGA1700,ATX
MSI MAG X570S TORPEDO MAX,AM4,ATX
